class_id,class_name,Box,Dots,Scribbles,VPD
42,box,0.342549991607666,0.342599983215332,0.34240001678466797,0.34349998474121096
53,path,0.4648500061035156,0.4647999954223633,0.4647999954223633,0.46529998779296877
54,stairs,0.42230001449584964,0.422400016784668,0.422400016784668,0.4241999816894531
60,stairway,0.47049999237060547,0.47049999237060547,0.47049999237060547,0.47080001831054685
61,river,0.2786999988555908,0.278799991607666,0.278799991607666,0.28200000762939453
69,hill,0.24700000762939453,0.24700000762939453,0.24709999084472656,0.2468000030517578
85,tower,0.6541999816894531,0.6541999816894531,0.6541999816894531,0.6541000366210937
92,dirt track,0.27100000381469724,0.27079999923706055,0.27110000610351564,0.26600000381469724
94,pole,0.4061000061035156,0.40630001068115235,,0.40279998779296877
95,land,0.06164999961853027,0.06159999847412109,0.06159999847412109,0.06119999885559082
96,bannister,0.21035000801086426,0.21030000686645509,0.21030000686645509,0.208700008392334
102,stage,0.8231499862670899,0.8230999755859375,0.8230999755859375,0.8194999694824219
105,fountain,0.36029998779296873,0.36029998779296873,0.36029998779296873,0.36029998779296873
107,canopy,0.528499984741211,0.528499984741211,0.528499984741211,0.5286000061035157
109,plaything,0.48805000305175783,0.48830001831054687,0.48830001831054687,0.4841999816894531
116,bag,0.13494999885559084,0.135,0.135,0.13460000038146971
122,step,0.3138999938964844,0.3138999938964844,0.3139999961853027,0.31409999847412107
124,trade name,0.43815000534057613,0.43810001373291013,0.43810001373291013,0.43509998321533205
132,blanket,0.3061000061035156,0.30620000839233397,0.30620000839233397,0.3034000015258789
138,tray,0.1674499988555908,0.16739999771118164,0.1672999954223633,0.16559999465942382
142,crt screen,0.40834999084472656,0.40889999389648435,0.40889999389648435,0.40689998626708984
146,shower,0.26930000305175783,0.26930000305175783,0.2695000076293945,0.2643000030517578
148,glass,0.1309000015258789,0.1309000015258789,0.1309000015258789,0.12880000114440918
149,clock,0.5264500045776368,0.5263999938964844,0.5263999938964844,0.5256000137329102
